date,ticker,price,decision,reason,sentiment,rsi,confidence
2026-01-25,BNB-USDT,866.02,hold,Neutral (score=-1),-0.650,39.36,0.600
2026-01-25,BTC-USDT,86670.36,hold,Neutral (score=-1),-0.650,35.79,0.600
2026-01-25,DOGE-USDT,0.11945,hold,Neutral (score=-1),-0.650,34.68,0.600
2026-01-25,DOT-USDT,1.823,hold,Neutral (score=-1),-0.650,37.45,0.600
2026-01-25,ETH-USDT,2816.89,hold,Neutral (score=-4),-0.750,33.11,0.600
2026-01-25,LTC-USDT,67.3,hold,Neutral (score=-9),-0.650,31.30,0.600
2026-01-25,SOL-USDT,118.85,hold,Neutral (score=-1),-0.650,33.31,0.400
2026-01-25,XRP-USDT,1.8356,hold,Neutral (score=-1),-0.650,36.12,0.600
2026-01-26,ADA-USDT,0.3521,sell,SELL: score=-17,-0.450,41.62,0.550
2026-01-26,BNB-USDT,879.41,sell,SELL: score=-21,-0.450,44.36,0.600
2026-01-26,BTC-USDT,88347.08,sell,SELL: score=-21,-0.450,42.28,0.550
2026-01-26,DOGE-USDT,0.12236,hold,Neutral (score=-8),-0.600,38.79,0.600
2026-01-26,DOT-USDT,1.875,sell,SELL: score=-22,-0.650,41.33,0.600
2026-01-26,ETH-USDT,2930.35,sell,SELL: score=-33,-0.600,41.65,0.500
2026-01-26,LTC-USDT,69.72,sell,SELL: score=-15,-0.400,39.15,0.600
2026-01-26,SOL-USDT,124.24,sell,SELL: score=-17,-0.450,41.03,0.550
2026-01-26,XRP-USDT,1.9041,sell,SELL: score=-21,-0.450,42.91,0.600
2026-01-27,ADA-USDT,0.3608,sell,SELL: score=-19,-0.350,44.92,0.550
2026-01-27,BNB-USDT,898.36,sell,SELL: score=-15,-0.200,50.58,0.500
2026-01-27,BTC-USDT,89250.0,sell,SELL: score=-20,-0.400,45.48,0.650
2026-01-27,DOGE-USDT,0.12619,sell,SELL: score=-20,-0.400,43.81,0.500
2026-01-27,DOT-USDT,1.876,sell,"SELL_MILD: score=-13, RSI=41.4",-0.600,41.41,0.600
2026-01-27,ETH-USDT,3026.77,sell,SELL: score=-18,-0.300,47.75,0.600
2026-01-27,LTC-USDT,70.03,sell,SELL: score=-20,-0.400,40.09,0.500
2026-01-27,SOL-USDT,127.19,sell,SELL: score=-29,-0.450,44.80,0.550
2026-01-27,XRP-USDT,1.9158,sell,SELL: score=-20,-0.400,44.00,0.650
2026-01-28,ADA-USDT,0.3583,sell,SELL: score=-20,-0.400,44.15,0.600
2026-01-28,BNB-USDT,902.91,sell,SELL: score=-15,-0.200,51.96,0.500
2026-01-28,BTC-USDT,89299.99,sell,SELL: score=-19,-0.350,45.66,0.600
2026-01-28,DOGE-USDT,0.125,sell,"SELL_MILD: score=-5, RSI=42.6",-0.400,42.64,0.500
2026-01-28,DOT-USDT,1.87,sell,SELL: score=-25,-0.600,41.07,0.600
2026-01-28,ETH-USDT,3010.78,sell,SELL: score=-20,-0.400,46.88,0.600
2026-01-28,LTC-USDT,69.42,sell,SELL: score=-16,-0.450,38.82,0.600
2026-01-28,SOL-USDT,125.35,sell,SELL: score=-25,-0.600,42.96,0.600
2026-01-28,XRP-USDT,1.9111,sell,SELL: score=-20,-0.400,43.64,0.650
2026-01-29,ADA-USDT,0.3347,hold,Neutral (score=-9),-0.650,37.58,0.600
2026-01-29,BNB-USDT,868.69,sell,"SELL_MILD: score=-13, RSI=42.3",-0.600,42.34,0.600
2026-01-29,BTC-USDT,84650.16,hold,Neutral (score=-1),-0.650,34.34,0.600
2026-01-29,DOGE-USDT,0.11728,hold,Neutral (score=-9),-0.650,35.94,0.600
2026-01-29,DOT-USDT,1.736,hold,Neutral (score=-9),-0.650,34.29,0.600
2026-01-29,ETH-USDT,2822.59,sell,SELL: score=-17,-0.650,38.04,0.400
2026-01-29,LTC-USDT,66.24,hold,Neutral (score=-9),-0.650,32.93,0.600
2026-01-29,SOL-USDT,117.82,hold,Neutral (score=-9),-0.650,36.36,0.600
2026-01-29,XRP-USDT,1.8076,hold,Neutral (score=-1),-0.650,36.52,0.600
2026-01-30,ADA-USDT,0.3208,hold,Neutral (score=-9),-0.650,34.34,0.600
2026-01-30,BNB-USDT,858.81,sell,"SELL_MILD: score=-13, RSI=40.0",-0.600,40.03,0.600
2026-01-30,BTC-USDT,84260.49,hold,Neutral (score=-1),-0.650,33.58,0.600
2026-01-30,DOGE-USDT,0.11581,hold,Neutral (score=-9),-0.650,34.82,0.600
2026-01-30,DOT-USDT,1.69,hold,Neutral (score=-12),-0.750,32.31,0.650
2026-01-30,ETH-USDT,2707.38,hold,Neutral (score=-9),-0.650,33.83,0.600
2026-01-30,LTC-USDT,65.47,hold,Neutral (score=-9),-0.650,31.68,0.600
2026-01-30,SOL-USDT,117.59,sell,SELL: score=-17,-0.650,36.18,0.600
2026-01-30,XRP-USDT,1.7352,hold,Neutral (score=-1),-0.650,32.52,0.600
2026-01-31,ADA-USDT,0.2936,hold,Neutral (score=-6),-0.750,29.05,0.600
2026-01-31,BNB-USDT,781.38,hold,Neutral (score=1),-0.750,27.43,0.600
2026-01-31,BTC-USDT,78741.09,hold,Neutral (score=9),-0.750,25.18,0.600
2026-01-31,DOGE-USDT,0.10426,hold,Neutral (score=-6),-0.750,27.54,0.600
2026-01-31,DOT-USDT,1.547,hold,Neutral (score=1),-0.750,27.09,0.400
2026-01-31,ETH-USDT,2451.95,hold,Neutral (score=-6),-0.750,26.76,0.600
2026-01-31,LTC-USDT,59.53,hold,Neutral (score=8),-0.750,24.07,0.400
2026-01-31,SOL-USDT,105.58,hold,Neutral (score=-6),-0.750,28.21,0.600
2026-01-31,XRP-USDT,1.6472,hold,Neutral (score=9),-0.750,28.45,0.600
2026-02-01,ADA-USDT,0.2858,hold,Neutral (score=-6),-0.750,27.74,0.400
2026-02-01,BNB-USDT,758.54,hold,Neutral (score=8),-0.750,24.94,0.600
2026-02-01,BTC-USDT,76968.21,buy,BUY: score=16,-0.750,23.17,0.600
2026-02-01,DOGE-USDT,0.10426,hold,Neutral (score=-3),-0.650,27.54,0.600
2026-02-01,DOT-USDT,1.495,hold,Neutral (score=4),-0.650,25.48,0.400
2026-02-01,ETH-USDT,2270.15,hold,Neutral (score=1),-0.750,23.07,0.600
2026-02-01,LTC-USDT,58.49,hold,Neutral (score=8),-0.750,23.03,0.600
2026-02-01,SOL-USDT,100.79,hold,Neutral (score=-6),-0.750,25.77,0.600
2026-02-01,XRP-USDT,1.5908,hold,Neutral (score=9),-0.750,26.18,0.400
2026-02-02,ADA-USDT,0.2991,sell,SELL: score=-24,-0.650,33.29,0.600
2026-02-02,BNB-USDT,773.94,hold,Neutral (score=1),-0.750,29.58,0.600
2026-02-02,BTC-USDT,78738.61,hold,Neutral (score=9),-0.750,29.24,0.600
2026-02-02,DOGE-USDT,0.10792,sell,SELL: score=-24,-0.650,32.71,0.600
2026-02-02,DOT-USDT,1.543,hold,Neutral (score=1),-0.750,29.64,0.600
2026-02-02,ETH-USDT,2347.02,hold,Neutral (score=-6),-0.750,27.62,0.600
2026-02-02,LTC-USDT,60.02,hold,Neutral (score=1),-0.750,27.97,0.400
2026-02-02,SOL-USDT,104.55,sell,SELL: score=-16,-0.650,30.83,0.600
2026-02-02,XRP-USDT,1.6198,hold,Neutral (score=12),-0.650,29.30,0.600
2026-02-03,ADA-USDT,0.2917,hold,Neutral (score=-12),-0.750,31.83,0.600
2026-02-03,BNB-USDT,754.78,hold,Neutral (score=1),-0.750,27.32,0.600
2026-02-03,BTC-USDT,75770.21,hold,Neutral (score=9),-0.750,25.59,0.600
2026-02-03,DOGE-USDT,0.10602,sell,SELL: score=-17,-0.650,31.45,0.600
2026-02-03,DOT-USDT,1.5,hold,Neutral (score=2),-0.700,28.13,0.600
2026-02-03,ETH-USDT,2233.72,hold,Neutral (score=1),-0.750,25.25,0.600
2026-02-03,LTC-USDT,59.48,hold,Neutral (score=1),-0.750,27.30,0.600
2026-02-03,SOL-USDT,97.89,hold,Neutral (score=-6),-0.750,27.28,0.400
2026-02-03,XRP-USDT,1.5791,hold,Neutral (score=9),-0.750,27.54,0.600
2026-02-04,ADA-USDT,0.2864,hold,Neutral (score=-12),-0.750,30.78,0.600
2026-02-04,BNB-USDT,697.27,hold,Neutral (score=8),-0.750,21.89,0.600
2026-02-04,BTC-USDT,73165.83,buy,BUY: score=16,-0.750,22.89,0.600
2026-02-04,DOGE-USDT,0.10383,sell,SELL: score=-17,-0.650,30.02,0.600
2026-02-04,DOT-USDT,1.461,hold,Neutral (score=1),-0.750,26.79,0.400
2026-02-04,ETH-USDT,2148.26,hold,Neutral (score=8),-0.750,23.60,0.600
2026-02-04,LTC-USDT,58.89,hold,Neutral (score=-7),-0.750,26.56,0.600
2026-02-04,SOL-USDT,92.12,hold,Neutral (score=1),-0.750,24.64,0.400
2026-02-04,XRP-USDT,1.512,buy,BUY: score=16,-0.750,24.89,0.600
2026-02-05,ADA-USDT,0.2455,hold,Neutral (score=1),-0.750,24.18,0.600
2026-02-05,BNB-USDT,608.3,hold,Neutral (score=1),-0.750,16.45,0.600
2026-02-05,BTC-USDT,62909.86,sell,EXTREME RISK,-0.850,15.82,0.300
2026-02-05,DOGE-USDT,0.08849,hold,Neutral (score=1),-0.750,22.36,0.400
2026-02-05,DOT-USDT,1.248,hold,Neutral (score=1),-0.750,20.94,0.600
2026-02-05,ETH-USDT,1826.83,hold,Neutral (score=1),-0.750,18.68,0.600
2026-02-05,LTC-USDT,50.79,hold,Neutral (score=1),-0.750,18.93,0.600
2026-02-05,SOL-USDT,78.35,hold,Neutral (score=1),-0.750,19.73,0.400
2026-02-05,XRP-USDT,1.2146,hold,Neutral (score=1),-0.750,17.05,0.400
2026-02-06,ADA-USDT,0.2762,sell,SELL: score=-24,-0.650,35.38,0.300
2026-02-06,BNB-USDT,657.21,hold,Neutral (score=-3),-0.650,27.17,0.400
2026-02-06,BTC-USDT,70580.26,sell,SELL: score=-24,-0.650,32.59,0.300
2026-02-06,DOGE-USDT,0.09848,sell,SELL: score=-23,-0.600,34.15,0.400
2026-02-06,DOT-USDT,1.368,sell,SELL: score=-24,-0.650,30.19,0.400
2026-02-06,ETH-USDT,2063.38,sell,SELL: score=-24,-0.650,30.22,0.400
2026-02-06,LTC-USDT,55.02,sell,SELL: score=-16,-0.650,30.21,0.400
2026-02-06,SOL-USDT,87.46,hold,Neutral (score=-3),-0.650,29.71,0.400
2026-02-06,XRP-USDT,1.4698,sell,SELL: score=-24,-0.650,35.75,0.350
2026-02-07,ADA-USDT,0.2721,sell,SELL: score=-24,-0.650,34.65,0.350
2026-02-07,BNB-USDT,647.0,hold,Neutral (score=-5),-0.700,26.41,0.400
2026-02-07,BTC-USDT,69289.38,sell,SELL: score=-27,-0.750,31.46,0.400
2026-02-07,DOGE-USDT,0.09823,sell,SELL: score=-24,-0.650,34.01,0.400
2026-02-07,DOT-USDT,1.372,sell,SELL: score=-24,-0.650,30.48,0.400
2026-02-07,ETH-USDT,2087.08,sell,SELL: score=-24,-0.650,31.28,0.400
2026-02-07,LTC-USDT,55.19,sell,SELL: score=-24,-0.650,30.62,0.350
2026-02-07,SOL-USDT,87.59,hold,Neutral (score=-14),-0.750,29.85,0.400
2026-02-07,XRP-USDT,1.4231,sell,SELL: score=-27,-0.750,34.23,0.400
2026-02-08,ADA-USDT,0.2701,sell,SELL: score=-26,-0.700,34.27,0.300
2026-02-08,BNB-USDT,639.93,hold,Neutral (score=-14),-0.750,25.87,0.400
2026-02-08,BTC-USDT,70330.38,sell,SELL: score=-24,-0.650,33.47,0.400
2026-02-08,DOGE-USDT,0.09663,sell,SELL: score=-27,-0.750,33.08,0.300
2026-02-08,DOT-USDT,1.337,hold,Neutral (score=-14),-0.750,29.33,0.300
2026-02-08,ETH-USDT,2089.74,sell,SELL: score=-24,-0.650,31.40,0.400
2026-02-08,LTC-USDT,54.53,hold,Neutral (score=-14),-0.750,29.88,0.400
2026-02-08,SOL-USDT,86.99,hold,Neutral (score=-14),-0.750,29.56,0.300
2026-02-08,XRP-USDT,1.4308,sell,SELL: score=-24,-0.650,34.72,0.400
2026-02-09,ADA-USDT,0.2699,sell,SELL: score=-36,-0.650,34.23,0.300
2026-02-09,BNB-USDT,636.39,hold,Neutral (score=-14),-0.750,25.58,0.400
2026-02-09,BTC-USDT,70138.0,sell,SELL: score=-36,-0.650,33.28,0.400
2026-02-09,DOGE-USDT,0.09611,sell,SELL: score=-24,-0.650,32.77,0.300
2026-02-09,DOT-USDT,1.32,hold,Neutral (score=-14),-0.750,28.76,0.400
2026-02-09,ETH-USDT,2105.02,sell,SELL: score=-36,-0.650,32.16,0.400
2026-02-09,LTC-USDT,54.45,hold,Neutral (score=-14),-0.750,29.78,0.300
2026-02-09,SOL-USDT,86.77,hold,Neutral (score=-14),-0.750,29.46,0.400
2026-02-09,XRP-USDT,1.437,sell,SELL: score=-36,-0.650,35.14,0.400
